Network name,Number of nodes,Number of edges,Density,Average Degree,Standarddeviation degree,Transitivity,Average Shortest Path,Diameter,Power law exponent,small-worldness coefficient,p method 1,p method 2
N100_tep-1-19-0.01,100,1855,0.3747474747474748,37.1,12.276400123814797,0.49247661105220064,1.6266666666666667,3,0.09808121057745216,-0.37977543654360413,0.3747474747474748,0.3747474747474748
N100_tep-1-19-0.1,100,2434,0.4917171717171717,48.68,24.54134470643367,0.7042560906360533,1.5187878787878788,3,0.04917617487982193,-0.44659244510554685,0.4917171717171717,0.4917171717171717
N100_tep-1-19-1.0,100,2712,0.5478787878787879,54.24,28.61961565080845,0.821928229587625,1.3660589060308554,2,,-0.4416202573225656,0.5478787878787879,0.5478787878787879
N100_tep-1-2-0.01,100,1862,0.37616161616161614,37.24,8.920896815903657,0.4204567718100143,1.624040404040404,3,0.22539510145701588,-0.08400676093098891,0.37616161616161614,0.3761616161616162
N100_tep-1-2-0.1,100,2453,0.4955555555555556,49.06,23.959891485563954,0.7012176404379412,1.4839049021670523,2,,-0.4228741241202645,0.4955555555555556,0.4955555555555556
N100_tep-1-2-1.0,100,2872,0.5802020202020202,57.44,29.16207125702837,0.8865978877610364,1.2142270861833104,2,,-0.36341715129673013,0.5802020202020202,0.5802020202020202
N100_tep-1-20-0.01,100,1803,0.36424242424242426,36.06,10.424797360140868,0.44868675980013695,1.635959595959596,3,0.3043841612021222,-0.23417149919239377,0.36424242424242426,0.36424242424242426
N100_tep-1-20-0.1,100,2449,0.49474747474747477,48.98,24.694120757783622,0.7126147858344651,1.4849568693456765,3,,-0.4584963154323427,0.49474747474747477,0.4947474747474747
N100_tep-1-20-1.0,100,2766,0.5587878787878788,55.32,28.97891647387804,0.8615414226115544,1.2774294670846396,2,,-0.436003130978454,0.5587878787878788,0.5587878787878788
N100_tep-1-21-0.01,100,1788,0.3612121212121212,35.76,9.017893323831238,0.4229276469788725,1.6387878787878787,2,0.3835536267751942,-0.16732575770013913,0.3612121212121212,0.3612121212121212
N100_tep-1-21-0.1,100,2400,0.48484848484848486,48.0,24.5682722225231,0.692572387746538,1.4988428361035135,3,,-0.4119899465679353,0.48484848484848486,0.48484848484848486
N100_tep-1-21-1.0,100,2789,0.5634343434343434,55.78,29.24536886414668,0.882835752201528,1.333731485905399,2,,-0.48215516728600405,0.5634343434343434,0.5634343434343434
N100_tep-1-22-0.01,100,1909,0.38565656565656564,38.18,12.680993651918607,0.49922168647253123,1.6145454545454545,3,-0.030464366560169192,-0.28755380061369107,0.38565656565656564,0.38565656565656564
N100_tep-1-22-0.1,100,2385,0.4818181818181818,47.7,25.056136972805685,0.7169993696154654,1.5327272727272727,3,-0.037061946019182015,-0.4999976976704168,0.4818181818181818,0.48181818181818187
N100_tep-1-22-1.0,100,2854,0.5765656565656566,57.08,29.518360388070334,0.9043949729642126,1.2371023790430367,2,,-0.42354369087794064,0.5765656565656566,0.5765656565656565
N100_tep-1-25-0.01,100,1860,0.37575757575757573,37.2,10.087616170334794,0.45136702568351283,1.6242424242424243,2,-0.02815722849897663,-0.21643681215271604,0.37575757575757573,0.3757575757575758
N100_tep-1-25-0.1,100,2375,0.4797979797979798,47.5,24.951753445399383,0.7104409926042086,1.529090909090909,3,-0.005288224903633779,-0.49351764549438526,0.4797979797979798,0.4797979797979798
N100_tep-1-25-1.0,100,2833,0.5723232323232323,56.66,29.036260089756734,0.8721527221777422,1.2248974008207933,2,,-0.3607984227648042,0.5723232323232323,0.5723232323232322
N100_tep-1-26-0.01,100,1828,0.3692929292929293,36.56,9.201434670745645,0.4216820486156246,1.6307070707070708,2,-0.11039407833054622,-0.16528260486723223,0.3692929292929293,0.36929292929292934
N100_tep-1-26-0.1,100,2394,0.48363636363636364,47.88,24.404622512958483,0.6973875079219773,1.518989898989899,3,-0.02740726222502138,-0.4376638502965501,0.48363636363636364,0.48363636363636364
N100_tep-1-26-1.0,100,2665,0.5383838383838384,53.3,29.44299577149037,0.8874039535036449,1.319458631256384,2,,-0.508216092703345,0.5383838383838384,0.5383838383838384
N100_tep-1-27-0.01,100,1850,0.37373737373737376,37.0,11.81185844818672,0.47228715885614875,1.627878787878788,3,0.01944967462595806,-0.3053660249774983,0.37373737373737376,0.37373737373737376
N100_tep-1-27-0.1,100,2386,0.482020202020202,47.72,24.33519262303054,0.6826784043548524,1.508142650999794,2,,-0.4109015558710243,0.482020202020202,0.482020202020202
N100_tep-1-27-1.0,100,2741,0.5537373737373738,54.82,29.436840863108934,0.8912112844320319,1.2839602925809823,2,,-0.49483976119080353,0.5537373737373738,0.5537373737373738
N100_tep-1-28-0.01,100,1849,0.37353535353535355,36.98,12.168796160672592,0.4829638446659723,1.6290909090909091,3,0.3526104379622968,-0.298185306559696,0.37353535353535355,0.3735353535353535
N100_tep-1-28-0.1,100,2455,0.49595959595959593,49.1,24.635137507227356,0.7085966448831099,1.4857984430885756,3,,-0.37814603030342964,0.49595959595959593,0.495959595959596
N100_tep-1-28-1.0,100,2775,0.5606060606060606,55.5,28.72855722099528,0.8395617753397332,1.3223443223443223,2,,-0.40349060678059545,0.5606060606060606,0.5606060606060606
